season,team,home_gms,home_avg,road_gms,road_avg,overall_gms,overall_avg
2000-2001,Spurs,41,22272,41,16690,82,19481
2000-2001,Bulls,41,21674,41,16336,82,19005
2000-2001,Trail Blazers,41,20277,41,17037,82,18657
2000-2001,NY Knicks,41,19763,41,17680,82,18721
2000-2001,76ers,41,19651,41,18582,82,19116
2000-2001,Raptors,41,19347,41,17611,82,18479
2000-2001,Jazz,41,19321,41,16989,82,18155
2000-2001,Lakers,41,18935,41,19628,82,19281
2000-2001,Suns,41,17989,41,17157,82,17573
2000-2001,Pacers,41,17888,41,16508,82,17198
2000-2001,Timberwolves,41,17496,41,16787,82,17142
2000-2001,Kings,41,17317,41,18438,82,17877
2000-2001,Bucks,41,16661,41,16584,82,16623
2000-2001,Mavericks,41,16588,41,15761,82,16175
2000-2001,Heat,41,16516,41,17046,82,16781
2000-2001,Cavaliers,41,15872,41,16064,82,15968
2000-2001,Thunder,41,15630,41,16497,82,16063
2000-2001,Wizards,41,15576,41,15872,82,15724
2000-2001,Celtics,41,15346,41,16436,82,15891
2000-2001,Nuggets,41,15104,41,16403,82,15754
2000-2001,Pelicans,41,15010,41,16500,82,15755
2000-2001,Pistons,41,14812,41,16397,82,15604
2000-2001,Magic,41,14756,41,16810,82,15783
2000-2001,Clippers,41,14620,41,15823,82,15222
2000-2001,Warriors,41,14438,41,16058,82,15248
2000-2001,Nets,41,13806,41,16085,82,14946
2000-2001,Grizzlies,41,13737,41,15822,82,14779
2000-2001,Hawks,41,13666,41,16403,82,15035
2000-2001,Rockets,41,12647,41,16714,82,14680
2001-2002,Spurs,41,22107,41,17248,82,19677
2001-2002,Wizards,41,20674,41,19939,82,20306
2001-2002,76ers,41,20560,41,18720,82,19640
2001-2002,Raptors,41,19783,41,17200,82,18492
2001-2002,NY Knicks,41,19763,41,17082,82,18422
2001-2002,Mavericks,41,19580,41,17049,82,18314
2001-2002,Trail Blazers,41,19459,41,16483,82,17971
2001-2002,Lakers,41,18997,41,20102,82,19549
2001-2002,Bulls,41,18934,41,16000,82,17467
2001-2002,Jazz,41,18685,41,16667,82,17676
2001-2002,Pistons,41,18556,41,16417,82,17486
2001-2002,Bucks,41,18178,41,17043,82,17610
2001-2002,Clippers,41,18053,41,16569,82,17311
2001-2002,Timberwolves,41,17845,41,16961,82,17403
2001-2002,Kings,41,17317,41,17701,82,17509
2001-2002,Pacers,41,16744,41,16677,82,16711
2001-2002,Suns,41,16315,41,16765,82,16540
2001-2002,Celtics,41,16091,41,17576,82,16833
2001-2002,Heat,41,15989,41,16702,82,16345
2001-2002,Nuggets,41,15459,41,16396,82,15928
2001-2002,Thunder,41,15451,41,16013,82,15732
2001-2002,Magic,41,15149,41,17345,82,16247
2001-2002,Cavaliers,41,14539,41,15809,82,15174
2001-2002,Warriors,41,14467,41,16202,82,15335
2001-2002,Grizzlies,41,14415,41,15841,82,15128
2001-2002,Nets,41,13760,41,16403,82,15082
2001-2002,Hawks,41,12344,41,16315,82,14329
2001-2002,Rockets,41,11737,41,16551,82,14144
2001-2002,Pelicans,41,11286,41,16457,82,13871
2002-2003,Pistons,41,20470,41,16053,82,18261
2002-2003,Wizards,41,20172,41,19311,82,19742
2002-2003,Mavericks,41,19912,41,17618,82,18765
2002-2003,76ers,41,19685,41,18408,82,19046
2002-2003,Bulls,41,19617,41,16268,82,17942
2002-2003,Trail Blazers,41,19420,41,16458,82,17939
2002-2003,Jazz,41,19171,41,16585,82,17878
2002-2003,NY Knicks,41,19011,41,17104,82,18058
2002-2003,Lakers,41,18972,41,19107,82,19040
2002-2003,Raptors,41,18963,41,16509,82,17736
2002-2003,Spurs,41,17950,41,16559,82,17255
2002-2003,Kings,41,17317,41,17924,82,17620
2002-2003,Celtics,41,17293,41,17263,82,17278
2002-2003,Clippers,41,17231,41,16276,82,16753
2002-2003,Pacers,41,16352,41,16856,82,16604
2002-2003,Suns,41,16257,41,16318,82,16288
2002-2003,Bucks,41,16243,41,16327,82,16285
2002-2003,Timberwolves,41,15699,41,16657,82,16178
2002-2003,Pelicans,41,15650,41,16481,82,16066
2002-2003,Thunder,41,15541,41,16243,82,15892
2002-2003,Warriors,41,15486,41,16297,82,15891
2002-2003,Heat,41,15322,41,15844,82,15583
2002-2003,Nets,41,15184,41,16956,82,16070
2002-2003,Grizzlies,41,14910,41,16277,82,15593
2002-2003,Nuggets,41,14824,41,16299,82,15562
2002-2003,Magic,41,14778,41,17305,82,16041
2002-2003,Rockets,41,13784,41,17919,82,15851
2002-2003,Hawks,41,12894,41,16294,82,14594
2002-2003,Cavaliers,41,11496,41,16087,82,13792
2003-2004,Pistons,41,21290,41,17127,82,19209
2003-2004,Mavericks,41,20136,41,17452,82,18794
2003-2004,Bulls,41,19736,41,16517,82,18126
2003-2004,76ers,41,19222,41,17672,82,18447
2003-2004,NY Knicks,41,19164,41,17589,82,18376
2003-2004,Jazz,41,19154,41,16537,82,17845
2003-2004,Lakers,41,18969,41,19380,82,19175
2003-2004,Raptors,41,18307,41,16480,82,17394
2003-2004,Cavaliers,41,18287,41,18755,82,18521
2003-2004,Spurs,41,18041,41,17347,82,17694
2003-2004,Timberwolves,41,17635,41,17862,82,17749
2003-2004,Nuggets,41,17596,41,17184,82,17390
2003-2004,Kings,41,17317,41,17813,82,17565
2003-2004,Bucks,41,16833,41,16213,82,16523
2003-2004,Trail Blazers,41,16683,41,16282,82,16483
2003-2004,Pacers,41,16544,41,17710,82,17127
2003-2004,Suns,41,16350,41,16461,82,16406
2003-2004,Warriors,41,16235,41,15885,82,16060
2003-2004,Clippers,41,16229,41,16258,82,16243
2003-2004,Celtics,41,16201,41,16955,82,16578
2003-2004,Wizards,41,15740,41,16008,82,15874
2003-2004,Rockets,41,15629,41,17768,82,16698
2003-2004,Thunder,41,15255,41,16842,82,16049
2003-2004,Heat,41,15239,41,16524,82,15881
2003-2004,Grizzlies,41,15188,41,16695,82,15941
2003-2004,Nets,41,14952,41,17358,82,16155
2003-2004,Magic,41,14369,41,16793,82,15581
2003-2004,Pelicans,41,14332,41,16679,82,15505
2003-2004,Hawks,41,13798,41,16282,82,15040
2004-2005,Pistons,41,22076,41,17868,82,19972
2004-2005,Bulls,41,20204,41,17334,82,18769
2004-2005,Mavericks,41,20061,41,17259,82,18660
2004-2005,Heat,41,19881,41,18891,82,19386
