season,league_rank,team_name,wins,losses,home,road
2002-2003,1,San Antonio Spurs,60,22,33-8,27-14
2002-2003,2,Dallas Mavericks,60,22,33-8,27-14
2002-2003,3,Sacramento Kings,59,23,35-6,24-17
2002-2003,4,Minnesota Timberwolves,51,31,33-8,18-23
2002-2003,5,Detroit Pistons,50,32,30-11,20-21
2002-2003,6,Los Angeles Lakers,50,32,31-10,19-22
2002-2003,7,Portland Trail Blazers,50,32,27-14,23-18
2002-2003,8,New Jersey Nets,49,33,33-8,16-25
2002-2003,9,Indiana Pacers,48,34,32-9,16-25
2002-2003,10,Philadelphia 76ers,48,34,25-16,23-18
2002-2003,11,New Orleans Hornets,47,35,29-12,18-23
2002-2003,12,Utah Jazz,47,35,29-12,18-23
2002-2003,13,Boston Celtics,44,38,25-16,19-22
2002-2003,14,Phoenix Suns,44,38,30-11,14-27
2002-2003,15,Houston Rockets,43,39,28-13,15-26
2002-2003,16,Milwaukee Bucks,42,40,25-16,17-24
2002-2003,17,Orlando Magic,42,40,26-15,16-25
2002-2003,18,Seattle SuperSonics,40,42,25-16,15-26
2002-2003,19,Golden State Warriors,38,44,24-17,14-27
2002-2003,20,Washington Wizards,37,45,23-18,14-27
2002-2003,21,New York Knicks,37,45,24-17,13-28
2002-2003,22,Atlanta Hawks,35,47,26-15,9-32
2002-2003,23,Chicago Bulls,30,52,27-14,3-38
2002-2003,24,Memphis Grizzlies,28,54,20-21,8-33
2002-2003,25,LA Clippers,27,55,16-25,11-30
2002-2003,26,Miami Heat,25,57,16-25,9-32
2002-2003,27,Toronto Raptors,24,58,15-26,9-32
2002-2003,28,Denver Nuggets,17,65,13-28,4-37
2002-2003,29,Cleveland Cavaliers,17,65,14-27,3-38
2003-2004,1,Indiana Pacers,61,21,34-7,27-14
2003-2004,2,Minnesota Timberwolves,58,24,31-10,27-14
2003-2004,3,San Antonio Spurs,57,25,33-8,24-17
2003-2004,4,Los Angeles Lakers,56,26,34-7,22-19
2003-2004,5,Sacramento Kings,55,27,34-7,21-20
2003-2004,6,Detroit Pistons,54,28,31-10,23-18
2003-2004,7,Dallas Mavericks,52,30,36-5,16-25
2003-2004,8,Memphis Grizzlies,50,32,31-10,19-22
2003-2004,9,New Jersey Nets,47,35,28-13,19-22
2003-2004,10,Houston Rockets,45,37,27-14,18-23
2003-2004,11,Denver Nuggets,43,39,29-12,14-27
2003-2004,12,Miami Heat,42,40,29-12,13-28
2003-2004,13,Utah Jazz,42,40,28-13,14-27
2003-2004,14,New Orleans Hornets,41,41,25-16,16-25
2003-2004,15,Milwaukee Bucks,41,41,27-14,14-27
2003-2004,16,Portland Trail Blazers,41,41,25-16,16-25
2003-2004,17,New York Knicks,39,43,23-18,16-25
2003-2004,18,Golden State Warriors,37,45,27-14,10-31
2003-2004,19,Seattle SuperSonics,37,45,21-20,16-25
2003-2004,20,Boston Celtics,36,46,19-22,17-24
2003-2004,21,Cleveland Cavaliers,35,47,23-18,12-29
2003-2004,22,Toronto Raptors,33,49,18-23,15-26
2003-2004,23,Philadelphia 76ers,33,49,21-20,12-29
2003-2004,24,Phoenix Suns,29,53,18-23,11-30
2003-2004,25,Atlanta Hawks,28,54,18-23,10-31
2003-2004,26,LA Clippers,28,54,18-23,10-31
2003-2004,27,Washington Wizards,25,57,17-24,8-33
2003-2004,28,Chicago Bulls,23,59,14-27,9-32
2003-2004,29,Orlando Magic,21,61,11-30,10-31
2004-2005,1,Phoenix Suns,62,20,31-10,31-10
2004-2005,2,Miami Heat,59,23,35-6,24-17
2004-2005,3,San Antonio Spurs,59,23,38-3,21-20
2004-2005,4,Dallas Mavericks,58,24,29-12,29-12
2004-2005,5,Detroit Pistons,54,28,32-9,22-19
2004-2005,6,Seattle SuperSonics,52,30,26-15,26-15
2004-2005,7,Houston Rockets,51,31,26-15,25-16
2004-2005,8,Sacramento Kings,50,32,30-11,20-21
2004-2005,9,Denver Nuggets,49,33,31-10,18-23
2004-2005,10,Chicago Bulls,47,35,27-14,20-21
2004-2005,11,Boston Celtics,45,37,27-14,18-23
2004-2005,12,Washington Wizards,45,37,29-12,16-25
2004-2005,13,Memphis Grizzlies,45,37,26-15,19-22
2004-2005,14,Indiana Pacers,44,38,25-16,19-22
2004-2005,15,Minnesota Timberwolves,44,38,24-17,20-21
2004-2005,16,Philadelphia 76ers,43,39,25-16,18-23
2004-2005,17,New Jersey Nets,42,40,24-17,18-23
2004-2005,18,Cleveland Cavaliers,42,40,29-12,13-28
2004-2005,19,LA Clippers,37,45,27-14,10-31
2004-2005,20,Orlando Magic,36,46,24-17,12-29
2004-2005,21,Los Angeles Lakers,34,48,22-19,12-29
2004-2005,22,Golden State Warriors,34,48,20-21,14-27
2004-2005,23,Toronto Raptors,33,49,22-19,11-30
2004-2005,24,New York Knicks,33,49,22-19,11-30
2004-2005,25,Milwaukee Bucks,30,52,23-18,7-34
2004-2005,26,Portland Trail Blazers,27,55,18-23,9-32
2004-2005,27,Utah Jazz,26,56,18-23,8-33
2004-2005,28,Charlotte Bobcats,18,64,14-27,4-37
2004-2005,29,New Orleans Hornets,18,64,11-30,7-34
2004-2005,30,Atlanta Hawks,13,69,9-32,4-37
2005-2006,1,Detroit Pistons,64,18,37-4,27-14
2005-2006,2,San Antonio Spurs,63,19,34-7,29-12
2005-2006,3,Dallas Mavericks,60,22,34-7,26-15
2005-2006,4,Phoenix Suns,54,28,31-10,23-18
2005-2006,5,Miami Heat,52,30,31-10,21-20
2005-2006,6,Cleveland Cavaliers,50,32,31-10,19-22
2005-2006,7,New Jersey Nets,49,33,29-12,20-21
2005-2006,8,Memphis Grizzlies,49,33,30-11,19-22
2005-2006,9,LA Clippers,47,35,27-14,20-21
2005-2006,10,Los Angeles Lakers,45,37,27-14,18-23
2005-2006,11,Denver Nuggets,44,38,26-15,18-23
2005-2006,12,Sacramento Kings,44,38,27-14,17-24
2005-2006,13,Washington Wizards,42,40,27-14,15-26
2005-2006,14,Indiana Pacers,41,41,27-14,14-27
2005-2006,15,Chicago Bulls,41,41,21-20,20-21
2005-2006,16,Utah Jazz,41,41,22-19,19-22
2005-2006,17,Milwaukee Bucks,40,42,25-16,15-26
2005-2006,18,Philadelphia 76ers,38,44,23-18,15-26
2005-2006,19,"NO/Oklahoma City
 Hornets",38,44,24-17,14-27
2005-2006,20,Orlando Magic,36,46,26-15,10-31
2005-2006,21,Seattle SuperSonics,35,47,22-19,13-28
2005-2006,22,Houston Rockets,34,48,15-26,19-22
2005-2006,23,Golden State Warriors,34,48,21-20,13-28
2005-2006,24,Boston Celtics,33,49,21-20,12-29
2005-2006,25,Minnesota Timberwolves,33,49,24-17,9-32
2005-2006,26,Toronto Raptors,27,55,15-26,12-29
2005-2006,27,Charlotte Bobcats,26,56,17-24,9-32
2005-2006,28,Atlanta Hawks,26,56,18-23,8-33
2005-2006,29,New York Knicks,23,59,15-26,8-33
2005-2006,30,Portland Trail Blazers,21,61,15-26,6-35
2006-2007,1,Dallas Mavericks,67,15,36-5,31-10
2006-2007,2,Phoenix Suns,61,21,33-8,28-13
2006-2007,3,San Antonio Spurs,58,24,31-10,27-14
2006-2007,4,Detroit Pistons,53,29,26-15,27-14
2006-2007,5,Houston Rockets,52,30,28-13,24-17
2006-2007,6,Utah Jazz,51,31,31-10,20-21
2006-2007,7,Cleveland Cavaliers,50,32,30-11,20-21
2006-2007,8,Chicago Bulls,49,33,31-10,18-23
