Player_ID,FullName,FirstName,LastName,Position,DateOfBirth,Height,Weight,SeasonExperience
1630173,Precious Achiuwa,Precious,Achiuwa,Forward,1999-09-19T00:00:00,6-8,243,5
203500,Steven Adams,Steven,Adams,Center,1993-07-20T00:00:00,6-11,265,12
1628389,Bam Adebayo,Bam,Adebayo,Center-Forward,1997-07-18T00:00:00,6-9,255,8
1630534,Ochai Agbaji,Ochai,Agbaji,Guard,2000-04-20T00:00:00,6-5,215,3
1630583,Santi Aldama,Santi,Aldama,Forward-Center,2001-01-10T00:00:00,7-0,215,4
1641725,Trey Alexander,Trey,Alexander,Guard,2003-05-02T00:00:00,6-5,185,1
1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,Guard,1998-09-02T00:00:00,6-5,205,6
1628960,Grayson Allen,Grayson,Allen,Guard,1995-10-08T00:00:00,6-3,198,7
1628386,Jarrett Allen,Jarrett,Allen,Center,1998-04-21T00:00:00,6-9,243,8
1630631,Jose Alvarado,Jose,Alvarado,Guard,1998-04-12T00:00:00,6-0,179,4
203937,Kyle Anderson,Kyle,Anderson,Forward-Guard,1993-09-20T00:00:00,6-8,230,11
203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,Forward,1994-12-06T00:00:00,6-11,243,12
1630175,Cole Anthony,Cole,Anthony,Guard,2000-05-15T00:00:00,6-2,185,5
1628384,OG Anunoby,OG,Anunoby,Forward-Guard,1997-07-17T00:00:00,6-7,240,8
1642379,Taran Armstrong,Taran,Armstrong,Guard,2002-01-15T00:00:00,6-5,190,1
1630166,Deni Avdija,Deni,Avdija,Forward,2001-01-03T00:00:00,6-8,228,5
1629028,Deandre Ayton,Deandre,Ayton,Center,1998-07-23T00:00:00,7-0,252,7
1630542,Marcus Bagley,Marcus,Bagley,Forward,2001-10-23T00:00:00,6-6,217,2
1628963,Marvin Bagley III,Marvin,Bagley III,Forward,1999-03-14T00:00:00,6-10,235,7
1631116,Patrick Baldwin Jr.,Patrick,Baldwin Jr.,Forward,2002-11-18T00:00:00,6-9,220,4
1630163,LaMelo Ball,LaMelo,Ball,Guard,2001-08-22T00:00:00,6-7,180,5
1628366,Lonzo Ball,Lonzo,Ball,Guard,1997-10-27T00:00:00,6-5,190,8
1628964,Mo Bamba,Mo,Bamba,Center,1998-05-12T00:00:00,7-0,231,8
1631094,Paolo Banchero,Paolo,Banchero,Forward,2002-11-12T00:00:00,6-10,250,3
1630217,Desmond Bane,Desmond,Bane,Guard,1998-06-25T00:00:00,6-6,215,5
1630625,Dalano Banton,Dalano,Banton,Forward,1999-11-07T00:00:00,6-8,203,5
1631230,Dominick Barlow,Dominick,Barlow,Forward,2003-05-26T00:00:00,6-9,215,3
203084,Harrison Barnes,Harrison,Barnes,Forward,1992-05-30T00:00:00,6-7,225,13
1630567,Scottie Barnes,Scottie,Barnes,Forward-Guard,2001-08-01T00:00:00,6-8,237,4
1629628,RJ Barrett,RJ,Barrett,Forward-Guard,2000-06-14T00:00:00,6-6,214,6
1629646,Charles Bassey,Charles,Bassey,Center-Forward,2000-10-28T00:00:00,6-10,230,4
1641734,Emoni Bates,Emoni,Bates,Forward,2004-01-28T00:00:00,6-8,202,3
1642419,Jamison Battle,Jamison,Battle,Forward,2001-05-10T00:00:00,6-7,220,1
201587,Nicolas Batum,Nicolas,Batum,Guard-Forward,1988-12-14T00:00:00,6-7,230,17
1641878,Damion Baugh,Damion,Baugh,Guard,2000-08-03T00:00:00,6-4,194,2
203078,Bradley Beal,Bradley,Beal,Guard,1993-06-28T00:00:00,6-4,207,13
1627736,Malik Beasley,Malik,Beasley,Guard,1996-11-26T00:00:00,6-4,187,10
1630699,MarJon Beauchamp,MarJon,Beauchamp,Forward,2000-10-12T00:00:00,6-7,199,4
1641736,Reece Beekman,Reece,Beekman,Guard,2001-10-08T00:00:00,6-3,190,2
