Team ID,Full Team Name,Abbreviation,Team Name,City,State,Conference,Division
1610612737,Atlanta Hawks,ATL,Hawks,Atlanta,Georgia,East,Southeast
1610612738,Boston Celtics,BOS,Celtics,Boston,Massachusetts,East,Atlantic
1610612739,Cleveland Cavaliers,CLE,Cavaliers,Cleveland,Ohio,East,Central
1610612740,New Orleans Pelicans,NOP,Pelicans,New Orleans,Louisiana,West,Southwest
1610612741,Chicago Bulls,CHI,Bulls,Chicago,Illinois,East,Central
1610612742,Dallas Mavericks,DAL,Mavericks,Dallas,Texas,West,Southwest
1610612743,Denver Nuggets,DEN,Nuggets,Denver,Colorado,West,Northwest
1610612744,Golden State Warriors,GSW,Warriors,Golden State,California,West,Pacific
1610612745,Houston Rockets,HOU,Rockets,Houston,Texas,West,Southwest
1610612746,Los Angeles Clippers,LAC,Clippers,Los Angeles,California,West,Pacific
1610612747,Los Angeles Lakers,LAL,Lakers,Los Angeles,California,West,Pacific
1610612748,Miami Heat,MIA,Heat,Miami,Florida,East,Southeast
1610612749,Milwaukee Bucks,MIL,Bucks,Milwaukee,Wisconsin,East,Central
1610612750,Minnesota Timberwolves,MIN,Timberwolves,Minnesota,Minnesota,West,Northwest
1610612751,Brooklyn Nets,BKN,Nets,Brooklyn,New York,East,Atlantic
1610612752,New York Knicks,NYK,Knicks,New York,New York,East,Atlantic
1610612753,Orlando Magic,ORL,Magic,Orlando,Florida,East,Southeast
1610612754,Indiana Pacers,IND,Pacers,Indiana,Indiana,East,Central
1610612755,Philadelphia 76ers,PHI,76ers,Philadelphia,Pennsylvania,East,Atlantic
1610612756,Phoenix Suns,PHX,Suns,Phoenix,Arizona,West,Pacific
1610612757,Portland Trail Blazers,POR,Trail Blazers,Portland,Oregon,West,Northwest
1610612758,Sacramento Kings,SAC,Kings,Sacramento,California,West,Pacific
1610612759,San Antonio Spurs,SAS,Spurs,San Antonio,Texas,West,Southwest
1610612760,Oklahoma City Thunder,OKC,Thunder,Oklahoma City,Oklahoma,West,Northwest
1610612761,Toronto Raptors,TOR,Raptors,Toronto,Ontario,East,Atlantic
1610612762,Utah Jazz,UTA,Jazz,Utah,Utah,West,Northwest
1610612763,Memphis Grizzlies,MEM,Grizzlies,Memphis,Tennessee,West,Southwest
1610612764,Washington Wizards,WAS,Wizards,Washington,District of Columbia,East,Southeast
1610612765,Detroit Pistons,DET,Pistons,Detroit,Michigan,East,Central
1610612766,Charlotte Hornets,CHA,Hornets,Charlotte,North Carolina,East,Southeast
